#                                                          
# SPHERE/ZIMPOL KI filter transmission                    
#                                                          
# Updated on 2016-07-11 by Julien Milli  
# For any information, please contact <jmilli@eso.org>    
#                                                          
# wavelength KI
#
450.0 0.0
451.0 0.0
452.0 0.0
453.0 0.0
454.0 0.0
455.0 0.0
456.0 0.0
457.0 0.0
458.0 0.0
459.0 0.0
460.0 0.0
461.0 0.0
462.0 0.0
463.0 0.0
464.0 0.0
465.0 0.0
466.0 0.0
467.0 0.0
468.0 0.0
469.0 0.0
470.0 0.0
471.0 0.0
472.0 0.0
473.0 0.0
474.0 0.0
475.0 0.0
476.0 0.0
477.0 0.0
478.0 0.0
479.0 0.0
480.0 0.0
481.0 0.0
482.0 0.0
483.0 0.0
484.0 0.0
485.0 0.0
486.0 0.0
487.0 0.0
488.0 0.0
489.0 0.0
490.0 0.0
491.0 0.0
492.0 0.0
493.0 0.0
494.0 0.0
495.0 0.0
496.0 0.0
497.0 0.0
498.0 0.0
499.0 0.0
500.0 0.0
501.0 0.0
502.0 0.0
503.0 0.0
504.0 0.0
505.0 0.0
506.0 0.0
507.0 0.0
508.0 0.0
509.0 0.0
510.0 0.0
511.0 0.0
512.0 0.0
513.0 0.0
514.0 0.0
515.0 0.0
516.0 0.0
517.0 0.0
518.0 0.0
519.0 0.0
520.0 0.0
521.0 0.0
522.0 0.0
523.0 0.0
524.0 0.0
525.0 0.0
526.0 0.0
527.0 0.0
528.0 0.0
529.0 0.0
530.0 0.0
531.0 0.0
532.0 0.0
533.0 0.0
534.0 0.0
535.0 0.0
536.0 0.0
537.0 0.0
538.0 0.0
539.0 0.0
540.0 0.0
541.0 0.0
542.0 0.0
543.0 0.0
544.0 0.0
545.0 0.0
546.0 0.0
547.0 0.0
548.0 0.0
549.0 0.0
550.0 0.0
551.0 0.0
552.0 0.0
553.0 0.0
554.0 0.0
555.0 0.0
556.0 0.0
557.0 0.0
558.0 0.0
559.0 0.0
560.0 0.0
561.0 0.0
562.0 0.0
563.0 0.0
564.0 0.0
565.0 0.0
566.0 0.0
567.0 0.0
568.0 0.0
569.0 0.0
570.0 0.0
571.0 0.0
572.0 0.0
573.0 0.0
574.0 0.0
575.0 0.0
576.0 0.0
577.0 0.0
578.0 0.0
579.0 0.0
580.0 0.0
581.0 0.0
582.0 0.0
583.0 0.0
584.0 0.0
585.0 0.0
586.0 0.0
587.0 0.0
588.0 0.0
589.0 0.0
590.0 0.0
591.0 0.0
592.0 0.0
593.0 0.0
594.0 0.0
595.0 0.0
596.0 0.0
597.0 0.0
598.0 0.0
599.0 0.0
600.0 0.0
601.0 0.0
602.0 0.0
603.0 0.0
604.0 0.0
605.0 0.0
606.0 0.0
607.0 0.0
608.0 0.0
609.0 0.0
610.0 0.0
611.0 0.0
612.0 0.0
613.0 0.0
614.0 0.0
615.0 0.0
616.0 0.0
617.0 0.0
618.0 0.0
619.0 0.0
620.0 0.0
621.0 0.0
622.0 0.0
623.0 0.0
624.0 0.0
625.0 0.0
626.0 0.0
627.0 0.0
628.0 0.0
629.0 0.0
630.0 0.0
631.0 0.0
632.0 0.0
633.0 0.0
634.0 0.0
635.0 0.0
636.0 0.0
637.0 0.0
638.0 0.0
639.0 0.0
640.0 0.0
641.0 0.0
642.0 0.0
643.0 0.0
644.0 0.0
645.0 0.0
646.0 0.0
647.0 0.0
648.0 0.0
649.0 0.0
650.0 0.0
651.0 0.0
652.0 0.0
653.0 0.0
654.0 0.0
655.0 0.0
656.0 0.0
656.25 0.0
656.5 0.0
656.75 0.0
657.0 0.0
658.0 0.0
659.0 0.0
660.0 0.0
661.0 0.0
662.0 0.0
663.0 0.0
664.0 0.0
665.0 0.0
666.0 0.0
667.0 0.0
668.0 0.0
669.0 0.0
670.0 0.0
671.0 0.0
672.0 0.0
673.0 0.0
674.0 0.0
675.0 0.0
676.0 0.0
677.0 0.0
678.0 0.0
679.0 0.0
680.0 0.0
681.0 0.0
682.0 0.0
683.0 0.0
684.0 0.0
685.0 0.0
686.0 0.0
687.0 0.0
688.0 0.0
689.0 0.0
690.0 0.0
691.0 0.0
692.0 0.0
693.0 0.0
694.0 0.0
695.0 0.0
696.0 0.0
697.0 0.0
698.0 0.0
699.0 0.0
700.0 0.0
701.0 0.0
702.0 0.0
703.0 0.0
704.0 0.0
705.0 0.001
706.0 0.0
707.0 0.0
708.0 0.0
709.0 0.0
710.0 0.0
711.0 0.0
712.0 0.0011
713.0 0.0
714.0 0.00031
715.0 0.0
716.0 0.0
717.0 0.0014
718.0 0.0
719.0 0.002
720.0 0.0013
721.0 0.0
722.0 0.00033
723.0 0.0
724.0 0.0
725.0 2e-05
726.0 0.0
727.0 0.0008
728.0 0.0048
729.0 0.00043
730.0 0.0041
731.0 0.0044
732.0 0.009
733.0 0.011
734.0 0.013
735.0 0.023
736.0 0.015
737.0 0.022
738.0 0.028
739.0 0.041
740.0 0.05
741.0 0.069
742.0 0.086
743.0 0.11
744.0 0.14
745.0 0.18
746.0 0.26
747.0 0.37
748.0 0.55
749.0 0.77
750.0 1.07
751.0 1.48
752.0 2.15
753.0 3.28
754.0 5.24
755.0 8.45
756.0 13.3
757.0 19.7
758.0 27.9
759.0 39.1
760.0 54.8
761.0 70.9
762.0 83.1
763.0 90.1
764.0 94.4
765.0 97.3
766.0 98.1
767.0 98.5
768.0 97.6
769.0 96.4
770.0 95.1
771.0 94.5
772.0 93.2
773.0 91.4
774.0 89.9
775.0 89.2
776.0 88.2
777.0 84.5
778.0 78.5
779.0 72.0
780.0 61.5
781.0 46.1
782.0 30.9
783.0 20.1
784.0 13.5
785.0 9.14
786.0 6.18
787.0 4.13
788.0 2.79
789.0 1.93
790.0 1.36
791.0 0.96
792.0 0.68
793.0 0.51
794.0 0.39
795.0 0.31
796.0 0.24
797.0 0.19
798.0 0.14
799.0 0.098
800.0 0.086
801.0 0.066
802.0 0.053
803.0 0.05
804.0 0.041
805.0 0.033
806.0 0.028
807.0 0.02
808.0 0.02
809.0 0.013
810.0 0.012
811.0 0.013
812.0 0.0091
813.0 0.0089
814.0 0.0085
815.0 0.0086
816.0 0.0037
817.0 0.006
818.0 0.0039
819.0 0.0023
820.0 0.0031
821.0 0.0024
822.0 0.0028
823.0 0.0029
824.0 0.0
825.0 0.0026
826.0 0.00095
827.0 0.0
828.0 0.0026
829.0 0.0021
830.0 0.0014
831.0 9e-05
832.0 0.0
833.0 0.0
834.0 0.0
835.0 0.0
836.0 0.0
837.0 0.0
838.0 0.0
839.0 0.0
840.0 0.0
841.0 0.0
842.0 0.0
843.0 0.0
844.0 0.0
845.0 0.0
846.0 0.0
847.0 0.0
848.0 0.0
849.0 0.0
850.0 0.0
851.0 0.0
852.0 0.0
853.0 0.0
854.0 0.0
855.0 0.0
856.0 0.0
857.0 0.0
858.0 0.0
859.0 0.0
860.0 0.0
861.0 0.0
862.0 0.0
863.0 0.0
864.0 0.0
865.0 0.0
866.0 0.0
867.0 0.0
868.0 0.0
869.0 0.0
870.0 0.0
871.0 0.0
872.0 0.0
873.0 0.0
874.0 0.0
875.0 0.0
876.0 0.0
877.0 0.0
878.0 0.0
879.0 0.0
880.0 0.0
881.0 0.0
882.0 0.0
883.0 0.0
884.0 0.0
885.0 0.0
886.0 0.0
887.0 0.0
888.0 0.0
889.0 0.0
890.0 0.0
891.0 0.0
892.0 0.0
893.0 0.0
894.0 0.0
895.0 0.0
896.0 0.0
897.0 0.0
898.0 0.0
899.0 0.0
900.0 0.0
901.0 0.0
902.0 0.0
903.0 0.0
904.0 0.0
905.0 0.0
906.0 0.0
907.0 0.0
908.0 0.0
909.0 0.0
910.0 0.0
911.0 0.0
912.0 0.0
913.0 0.0
914.0 0.0
915.0 0.0
916.0 0.0
917.0 0.0
918.0 0.0
919.0 0.0
920.0 0.0
921.0 0.0
922.0 0.0
923.0 0.0
924.0 0.0
925.0 0.0
926.0 0.0
927.0 0.0
928.0 0.0
929.0 0.0
930.0 0.0
931.0 0.0
932.0 0.0
933.0 0.0
934.0 0.0
935.0 0.0
936.0 0.0
937.0 0.0
938.0 0.0
939.0 0.0
940.0 0.0
941.0 0.0
942.0 0.0
943.0 0.0
944.0 0.0
945.0 0.0
946.0 0.0
947.0 0.0
948.0 0.0
949.0 0.0
950.0 0.0
951.0 0.0
952.0 0.0
953.0 0.0
954.0 0.0
955.0 0.0
956.0 0.0
957.0 0.0
958.0 0.0
959.0 0.0
960.0 0.0
961.0 0.0
962.0 0.0
963.0 0.0
964.0 0.0
965.0 0.0
966.0 0.0
967.0 0.0
968.0 0.0
969.0 0.0
970.0 0.0
971.0 0.0
972.0 0.0
973.0 0.0
974.0 0.0
975.0 0.0
976.0 0.0
977.0 0.0
978.0 0.0
979.0 0.0
980.0 0.0
981.0 0.0
982.0 0.0
983.0 0.0
984.0 0.0
985.0 0.0
986.0 0.0
987.0 0.0
988.0 0.0
989.0 0.0
990.0 0.0
991.0 0.0
992.0 0.0
993.0 0.0
994.0 0.0
995.0 0.0
996.0 0.0
997.0 0.0
998.0 0.0
999.0 0.0
1000.0 0.0
