#                                                          
# SPHERE/ZIMPOL ND filter transmission                    
#                                                          
# Updated with final values on 2015-04-16 by Julien Milli  
# For any information, please contact <jmilli@eso.org>    
#                                                          
# wavelength   ND1.0   ND2.0   ND4.0                                   
#                                                          
      400.000          NaN          NaN          NaN
      401.000          NaN          NaN          NaN
      402.000          NaN          NaN          NaN
      403.000          NaN          NaN          NaN
      404.000          NaN          NaN          NaN
      405.000          NaN          NaN          NaN
      406.000          NaN          NaN          NaN
      407.000          NaN          NaN          NaN
      408.000          NaN          NaN          NaN
      409.000          NaN          NaN          NaN
      410.000          NaN          NaN          NaN
      411.000          NaN          NaN          NaN
      412.000          NaN          NaN          NaN
      413.000          NaN          NaN          NaN
      414.000          NaN          NaN          NaN
      415.000          NaN          NaN          NaN
      416.000          NaN          NaN          NaN
      417.000          NaN          NaN          NaN
      418.000          NaN          NaN          NaN
      419.000          NaN          NaN          NaN
      420.000          NaN          NaN          NaN
      421.000          NaN          NaN          NaN
      422.000          NaN          NaN          NaN
      423.000          NaN          NaN          NaN
      424.000          NaN          NaN          NaN
      425.000          NaN          NaN          NaN
      426.000          NaN          NaN          NaN
      427.000          NaN          NaN          NaN
      428.000          NaN          NaN          NaN
      429.000          NaN          NaN          NaN
      430.000          NaN          NaN          NaN
      431.000          NaN          NaN          NaN
      432.000          NaN          NaN          NaN
      433.000          NaN          NaN          NaN
      434.000          NaN          NaN          NaN
      435.000          NaN          NaN          NaN
      436.000          NaN          NaN          NaN
      437.000          NaN          NaN          NaN
      438.000          NaN          NaN          NaN
      439.000          NaN          NaN          NaN
      440.000          NaN          NaN          NaN
      441.000          NaN          NaN          NaN
      442.000          NaN          NaN          NaN
      443.000          NaN          NaN          NaN
      444.000          NaN          NaN          NaN
      445.000          NaN          NaN          NaN
      446.000          NaN          NaN          NaN
      447.000          NaN          NaN          NaN
      448.000          NaN          NaN          NaN
      449.000          NaN          NaN          NaN
      450.000          NaN          NaN          NaN
      451.000          NaN          NaN          NaN
      452.000          NaN          NaN          NaN
      453.000          NaN          NaN          NaN
      454.000          NaN          NaN          NaN
      455.000          NaN          NaN          NaN
      456.000          NaN          NaN          NaN
      457.000          NaN          NaN          NaN
      458.000          NaN          NaN          NaN
      459.000          NaN          NaN          NaN
      460.000          NaN          NaN          NaN
      461.000          NaN          NaN          NaN
      462.000          NaN          NaN          NaN
      463.000          NaN          NaN          NaN
      464.000          NaN          NaN          NaN
      465.000          NaN          NaN          NaN
      466.000          NaN          NaN          NaN
      467.000          NaN          NaN          NaN
      468.000          NaN          NaN          NaN
      469.000          NaN          NaN          NaN
      470.000          NaN          NaN          NaN
      471.000          NaN          NaN          NaN
      472.000          NaN          NaN          NaN
      473.000          NaN          NaN          NaN
      474.000          NaN          NaN          NaN
      475.000          NaN          NaN          NaN
      476.000          NaN          NaN          NaN
      477.000          NaN          NaN          NaN
      478.000          NaN          NaN          NaN
      479.000          NaN          NaN          NaN
      480.000          NaN          NaN          NaN
      481.000          NaN          NaN          NaN
      482.000          NaN          NaN          NaN
      483.000          NaN          NaN          NaN
      484.000          NaN          NaN          NaN
      485.000          NaN          NaN          NaN
      486.000          NaN          NaN          NaN
      487.000          NaN          NaN          NaN
      488.000          NaN          NaN          NaN
      489.000          NaN          NaN          NaN
      490.000          NaN          NaN          NaN
      491.000          NaN          NaN          NaN
      492.000          NaN          NaN          NaN
      493.000          NaN          NaN          NaN
      494.000          NaN          NaN          NaN
      495.000          NaN          NaN          NaN
      496.000          NaN          NaN          NaN
      497.000          NaN          NaN          NaN
      498.000          NaN          NaN          NaN
      499.000          NaN          NaN          NaN
      500.000          NaN          NaN          NaN
      501.000    0.0889500   0.00600000  5.03000e-05
      502.000    0.0889000   0.00600000  5.06000e-05
      503.000    0.0888500   0.00600000  5.09000e-05
      504.000    0.0888000   0.00600000  5.12000e-05
